과정명,레벨,소요 시간,제공 방법,설명,과정 목표,수강 대상,수강 전 권장 사항,모듈 수,실습 수
AWS Well-Architected Best Practices Intermediate - L200 과정 수강,,,,AWS Well-Architected Framework는 클라우드 중심으로 고객의 아키텍처에 대해 정보에 입각한 결정을 내리고 설계 결정에 따른 영향을 이해하는 데 도움이 됩니다. Well-Architected Framework를 사용하면 아키텍처에 존재하는 위험과 이를 완화하는 방법을 이해할 수 있습니다. 이 과정에서는 AWS Well-Architected Framework와 여섯 가지 핵심 요소에 대해 심층적으로 살펴봅니다. 이 과정에서는 Well-Architected Review 프로세스와 AWS Well-Architected Tool을 사용하여 검토를 완료하는 방법도 다룹니다.,"AWS Well-Architected Framework의 기능, 설계 원칙, 설계 핵심 요소 및 일반적인 용도 파악
Well-Architected Framework의 각 핵심 요소에 설계 원칙, 주요 서비스 및 모범 사례 적용
AWS Well-Architected Tool을 사용하여 Well-Architected Review 수행","AWS 솔루션의 설계, 구축 및 실행에 관여하는 기술 전문가",핵심 AWS 서비스에 대한 지식 (과정: AWS Cloud Practitioner Essentials),0,0
Amazon SageMaker Studio for Data Scientists,상급,3일,"강의식 교육(ILT), 프레젠테이션, 데모, 실습, 토론 및 캡스톤 프로젝트","Amazon SageMaker Studio는 데이터 사이언티스트가 ML 전용으로 구축된 광범위한 기능 세트를 통합하여 기계 학습(ML) 모델을 신속하게 준비, 구축, 교육, 배포 및 모니터링할 수 있도록 지원합니다. 이 교육 과정에서는 숙련된 데이터 사이언티스트가 SageMaker Studio의 일부인 도구를 사용하여 ML 라이프사이클의 모든 단계에서 생산성을 개선할 수 있는 방법을 학습합니다..","Amazon SageMaker Studio를 사용하여 ML 솔루션 준비, 구축, 교육, 배포 및 모니터링 가속화","ML 및 딥 러닝 기초에 능숙한 경험 많은 데이터 사이언티스트. 관련 경험으로는 ML 프레임워크 사용, Python 프로그래밍, 모델 구축, 교육, 조정 및 배포 프로세스가 포함됩니다.",이 과정을 수강하려면 다음 AWS 과정을 완료하는 것이 좋습니다.,0,0
AWS Technical Essentials (1일 간의 AWS 강사 주도 과정),,,,"DevOps Engineering on AWS에서는 DevOps의 도구, 사례, 문화 철학을 조합하여 AWS에서 애플리케이션과 서비스를 빠르게 개발, 제공, 유지 관리하는 조직의 능력을 개선하는 방법을 설명합니다. 이 과정에서는 지속적 통합(CI), 지속적 전달(CD), 마이크로서비스, 코드형 인프라, 모니터링 및 로깅, 커뮤니케이션 및 협업을 다룹니다.","이 과정에서 학습할 내용은 다음과 같습니다.
소규모 DevOps 팀의 장점 나열
일반적인 소규모 DevOps 팀 구성원의 역할과 책임 나열
AWS Cloud9을 활용하여 코드를 작성, 실행, 디버깅하고 클라우드 기반 IDE를 개발 팀과 공유
테스트 및 보안을 포함한 지속적 통합/지속적 전달(CI/CD) 파이프라인 구축
Git 분기 전략을 개발하고 다양한 환경의 CI/CD 파이프라인과 통합
AWS CloudFormation을 사용하여 소프트웨어 개발 프로젝트를 위한 개발, 테스트, 프로덕션 환경 배포
AWS에서 DevOps 개발 프로젝트를 지원하는 인프라 설계 및 구현
AWS CloudFormation 템플릿용 CI/CD 파이프라인 구축
개발 및 운영의 워크플로와 책임을 종합하여 협업 확립
AWS CodeCommit을 사용하여 안전하고 확장성이 뛰어난 프라이빗 Git 리포지토리 호스팅
Amazon Elastic Container Registry(Amazon ECR)를 활용하여 Docker 컨테이너 이미지를 안전하게 저장하고 AWS CodeBuild 및 Amazon Elastic Container Service(Amazon ECS)와 통합
AWS CodeBuild를 사용하여 코드 빌드, 테스트, 패키징 자동화
CI/CD 파이프라인 도구 및 서비스에 보안 통합
‘한 번에 모두’, ‘롤링’, ‘블루/그린’과 같은 공통 배포 전략 구현
AWS CodeDeploy를 사용하여 Amazon Elastic Compute Cloud(Amazon EC2), 온프레미스 컴퓨팅, AWS ECS(Amazon EC2/AWS Fargate), AWS Lambda에 대한 소프트웨어 배포 자동화
AWS CodePipeline을 사용하여 릴리스 파이프라인(빌드, 테스트, 배포) 자동화
AWS 도구 및 기술을 사용하여 애플리케이션 및 환경 모니터링","개발자
DevOps 엔지니어
SysOps 엔지니어
DevOps 아키텍트
시스템 관리자","IT 분야 근무 경험
일반적인 데이터 센터 아키텍처 및 구성 요소(서버, 네트워킹, 데이터베이스, 애플리케이션 등) 관련 기본 지식",0,0
Architecting on AWS,중급,3일,"강의식 교육(ILT), 실습 및 그룹 활동","이 과정에서는 프로젝트 기반 학습 환경에서 머신러닝(ML) 파이프라인을 사용하여 실제 비즈니스 문제를 해결하는 방법을 살펴봅니다. 수강생은 강사의 프레젠테이션과 데모를 통해 파이프라인의 각 단계에 대해 학습한 다음 해당 지식을 적용하여 사기 탐지 또는 항공편 지연이라는 두 가지 비즈니스 문제 중 하나를 해결하는 프로젝트를 완료합니다. 과정을 마치면 수강생은 선택한 비즈니스 문제를 해결하는 Amazon SageMaker를 사용하여 ML 모델을 성공적으로 구축, 교육, 평가, 조정 및 배포할 수 있게 됩니다. 머신 러닝 경험이나 지식이 거의 또는 전혀 없는 학습자도 이 과정을 통해 이점을 얻을 수 있습니다. 통계와 Python에 대한 기본 지식이 있으면 도움이 됩니다.","이 과정에서 학습할 내용은 다음과 같습니다.
Well-Architected Framework의 핵심 요소인 운영 우수성의 여러 단계를 지원하는 AWS 서비스 파악
AWS 계정 및 조직과 AWS Identity and Access Management(IAM)를 사용해 AWS 리소스에 대한 액세스 관리
AWS Systems Manager, AWS CloudTrail, AWS Config 등 AWS 서비스를 사용하여 사용 중인 AWS 리소스의 인벤토리 유지 관리
메타데이터 태그, Amazon Machine Image(AMI), AWS Control Tower를 사용하여 AWS 클라우드 환경을 배포 및 유지 관리하는 리소스 배포 전략 개발
AWS CloudFormation, AWS Service Catalog 같은 AWS 서비스를 사용해 리소스 배포 자동화
AWS 서비스를 사용해 배포, 패치 같은 CloudOps 수명 주기 프로세스를 통한 AWS 리소스 관리
Amazon Route 53, Elastic Load Balancing과 같은 AWS 서비스를 사용해 지연 시간과 성능을 최적화하여 트래픽을 라우팅할 수 있는 고가용성 클라우드 환경 구성
AWS Auto Scaling 및 Amazon EC2 Auto Scaling 구성을 통한 수요 기반 클라우드 환경 확장
Amazon CloudWatch를 비롯한 관련 기능(경보, 대시보드, 위젯 등)을 사용한 클라우드 환경 모니터링
AWS CloudTrail 및 AWS Config 등 AWS 서비스를 사용하여 클라우드 환경에서 권한 관리 및 활동 추적
Amazon Virtual Private Cloud(Amazon VPC)에 대한 리소스 배포, Amazon VPC에 대해 필요한 연결 구성, 서비스 중단에서 리소스 보호
AWS 클라우드 환경에서 탑재 가능한 스토리지의 용도, 이점, 적절한 사용 사례 명시
Amazon Simple Storage Service(Amazon S3), Amazon S3 Glacier를 포함해 AWS 클라우드의 객체 스토리지에 대한 운영 특성 설명
AWS Cost Explorer, AWS Cost and Usage Report 같은 서비스를 사용해 클라우드 비용을 수집하고, 최적화하고, 예측할 수 있는 포괄적 비용 모델 구축","AWS 클라우드에서 작업하는 시스템 관리자 및 운영자
시스템 운영에 대한 지식을 쌓고 싶은 IT 업계 종사자","IT 분야 관련 경험
일반적인 데이터 센터 아키텍처 및 구성 요소 관련 기본 지식(서버, 네트워킹, 데이터베이스, 애플리케이션)
클라우드 컴퓨팅 또는 AWS 사용 경험이 없어도 무방함
등록
https://explore.skillbuilder.aws/learn/course/external/view/elearning/18977/digital-classroom-aws-cloud-technical-essentials-amazon-korean-na-hangug-eo-gang-ui
Digital Classroom – Cloud Operations on AWS",0,0
이 과정은 또한 AWS Certified Cloud Practitioner 시험을 준비하는 데 도움이 됩니다.,초급,1일,강의식 교육(ILT) 및 실습,,"클라우드가 무엇이고 어떻게 작동하는지 정의
클라우드 컴퓨팅과 배포 모델의 차이를 구분
AWS 클라우드의 기본적인 글로벌 인프라와 6가지 장점을 설명
컴퓨팅, 네트워크, 데이터베이스, 스토리지 등 핵심 AWS 서비스의 사례를 설명
Well-Architected 프레임워크를 설명
공동 책임 모델 설명
AWS 클라우드를 이용한 보안 서비스 설명
AWS 플랫폼의 결제, 계정 관리, 요금 모델 정의","영업 및 마케팅
법무
비즈니스 애널리스트
프로젝트 관리자
AWS 아카데미 학생
IT 전문가","이 과정을 수강하기 위해서는 다음 조건이 갖춰져 있는 것이 좋습니다.
일반적인 IT 비지니스 지식
일반적인 IT 기술 지식
등록
www.aws.training/SessionSearch?pageNumber=1&courseId=17675",0,0
AWS Migration Essentials,초급,1일,강의식 교육(ILT) 및 실습,"이 과정은 솔루션스 아키텍트에게 AWS 클라우드로의 리프트 앤 시프트 마이그레이션을 성공적으로 계획하고 수행하는 데 필요한 기초 지식을 제공하기 위한 것입니다. 이 과정에서는 다양한 AWS 도구 및 서비스를 사용하여 마이그레이션을 검색, 계획, 수행 및 추적하는 방법론을 학습합니다","Amazon Web Services(AWS)에서 제공하는 평가 도구 및 서비스를 사용하여 클라우드 준비 상태 및 마이그레이션 전략을 결정
마이그레이션 계획 및 활용과 관련된 주요 작업을 이해
데이터 및 데이터베이스 마이그레이션에 필요한 Amazon Web Services(AWS) 서비스, 리소스 및 도구를 개략적으로 설명
애플리케이션 마이그레이션에 필요한 Amazon Web Services(AWS) 서비스, 리소스 및 도구를 개략적으로 설명","클라우드 마이그레이션에 대한 지식이 제한적이거나 전혀 없는 기술 부문 고객(솔루션스 아키텍트, 개발자 및 관리자)",이 과정을 수강하기 위해서는 다음 과정을 수료하는 것이 좋습니다.,0,0
AWS Technical Essentials,,,,"이 과정은 숙련된 개발자에게 프로그래밍 방식으로 AWS 서비스와 상호 작용하여 웹 솔루션을 구축하는 방법을 가르칩니다. 리소스 선택에 관한 상위 수준 아키텍처 논의를 통해 진행하고, AWS 소프트웨어 개발 키트(AWS SDK)와 Command Line Interface(AWS CLI)를 사용하여 클라우드 애플리케이션을 구축하고 배포하는 방법을 심층 탐색합니다. 여러분은 샘플 애플리케이션을 구축하면서 개발 환경에 대한 권한을 설정하는 방법을 배우고, AWS 핵심 서비스를 사용하여 데이터를 처리하고, 사용자 인증을 구성하고, AWS 클라우드에 배포하고, 디버깅을 통해 애플리케이션 문제를 해결하는 비즈니스 로직을 추가합니다. 이 과정에서 설명한 설계 패턴 및 솔루션을 구현하는 데 도움이 되는 코드 예제가 포함되어 있습니다. 이러한 실습은 주요 과정 콘텐츠를 보강하며, Python, .NET, Java용 AWS SDK, AWS CLI, AWS Management Console을 사용하여 솔루션을 구현하는 데 도움이 됩니다.","이 과정에서 학습할 내용은 다음과 같습니다.
개발 환경을 지원하도록 IAM 권한 구성
AWS SDK를 사용한 클라우드 네이티브 애플리케이션 설계, 다이어그램, 구축, 배포
AWS 리소스를 사용하여 애플리케이션 모니터링 및 유지 관리","소프트웨어 개발자
솔루션스 아키텍트
AWS 서비스를 사용하여 개발 역량을 높이려는 숙련된 기술 전문가",핵심 AWS 서비스에 대한 지식(과정: AWS Cloud Practitioner Essentials),0,0
AWS Security Essentials,기초,1일,,"이 교육 과정에서는 AWS 액세스 제어, 데이터 암호화 방법, AWS 인프라에 대한 네트워크 액세스 보안을 유지하는 방법을 비롯하여 기본적인 AWS 클라우드 보안 개념에 대해 알아봅니다. AWS 클라우드에서의 고객의 보안 책임을 설명하고 사용 가능한 다양한 보안 지향 AWS 서비스를 간략하게 소개합니다.","이 교육 과정에서 배우게 될 내용은 다음과 같습니다.
AWS 클라우드 사용에 따른 보안 이점 및 책임 파악
AWS의 액세스 제어 및 액세스 관리 기능 설명
데이터를 보호하는 다양한 방법 이해
AWS 리소스에 대한 네트워크 액세스를 보호하는 방법 설명
모니터링 및 인시던트 대응에 사용할 수 있는 AWS 서비스 식별","이 교육 과정의 대상은 다음과 같습니다.
클라우드 보안 업무에 관심이 있는 IT 비즈니스 전문가",,0,0
AWS에 대한 최소한의 실무 지식을 갖춘 보안 전문가,,,,AWS Well-Architected Framework는 클라우드 중심으로 고객의 아키텍처에 대해 정보에 입각한 결정을 내리고 설계 결정에 따른 영향을 이해하는 데 도움이 됩니다. Well-Architected Framework를 사용하면 아키텍처에 존재하는 위험과 이를 완화하는 방법을 이해할 수 있습니다. 이 과정에서는 AWS Well-Architected Framework와 여섯 가지 핵심 요소에 대해 심층적으로 살펴봅니다. 이 과정에서는 Well-Architected Review 프로세스와 AWS Well-Architected Tool을 사용하여 검토를 완료하는 방법도 다룹니다.,"이 과정에서 학습할 내용은 다음과 같습니다.
Well-Architected Framework의 기능, 설계 원칙, 설계 핵심 요소, 일반적인 용도 파악
Well-Architected Framework의 각 핵심 요소에 설계 원칙, 주요 서비스 및 모범 사례 적용
Well-Architected Tool을 사용하여 Well-Architected 검토 수행","AWS 솔루션 설계, 구축, 운영에 관련된 기술 전문가","IT 보안 사례 및 인프라 개념에 대한 실무 지식, 클라우드 컴퓨팅 개념에 대한 이해
등록
https://explore.skillbuilder.aws/learn/course/external/view/elearning/19774/digital-classroom-aws-security-essentials-amazon-korean
Digital Classroom - AWS Well-Architected Best Practices",0,0
AWS Technical Essentials,기초,1일,"강의식 교육(ILT), 실습 및 그룹 활동","이 과정은 숙련된 개발자에게 프로그래밍 방식으로 AWS 서비스와 상호 작용하여 웹 솔루션을 구축하는 방법을 가르칩니다. 리소스 선택에 관한 상위 수준 아키텍처 논의를 통해 진행하고, AWS 소프트웨어 개발 키트(AWS SDK)와 Command Line Interface(AWS CLI)를 사용하여 클라우드 애플리케이션을 구축하고 배포하는 방법을 심층 탐색합니다. 여러분은 샘플 애플리케이션을 구축하면서 개발 환경에 대한 권한을 설정하는 방법을 배우고, AWS 핵심 서비스를 사용하여 데이터를 처리하고, 사용자 인증을 구성하고, AWS 클라우드에 배포하고, 디버깅을 통해 애플리케이션 문제를 해결하는 비즈니스 로직을 추가합니다. 이 과정에서 설명한 설계 패턴 및 솔루션을 구현하는 데 도움이 되는 코드 예제가 포함되어 있습니다. 이러한 실습은 주요 과정 콘텐츠를 보강하며, Python, .NET, Java용 AWS SDK, AWS CLI, AWS Management Console을 사용하여 솔루션을 구현하는 데 도움이 됩니다.","이 과정에서 학습할 내용은 다음과 같습니다.
개발 환경을 지원하도록 IAM 권한 구성
AWS SDK를 사용한 클라우드 네이티브 애플리케이션 설계, 다이어그램, 구축, 배포
AWS 리소스를 사용하여 애플리케이션 모니터링 및 유지 관리","소프트웨어 개발자
솔루션스 아키텍트
AWS 서비스를 사용하여 개발 역량을 높이려는 숙련된 기술 전문가",핵심 AWS 서비스에 대한 지식(과정: AWS Cloud Practitioner Essentials),0,0
