table_index,course_name,level,duration
1,AWS 아카데미 학생,고급,1일
2,AWS 아카데미 학생,,
3,AWS 아카데미 학생,상급,3일
4,AWS 아카데미 학생,,
5,AWS 아카데미 학생,중급,3일
7,AWS 아카데미 학생,초급,4시간
8,AWS 아카데미 학생,,
9,AWS 아카데미 학생,초급,1일
10,AWS 아카데미 학생,,
11,AWS 아카데미 학생,초급,1일
12,AWS 아카데미 학생,,
13,AWS 아카데미 학생,기초,1일
14,AWS 아카데미 학생,,
15,AWS 아카데미 학생,기초,1일
16,AWS 아카데미 학생,,
17,AWS 아카데미 학생,중급,1일
18,AWS 아카데미 학생,,
19,AWS 아카데미 학생,중급,2일
20,AWS 아카데미 학생,,
21,AWS 아카데미 학생,중급,1일
22,AWS 아카데미 학생,,
23,AWS 아카데미 학생,중급,1일
24,AWS 아카데미 학생,,
25,AWS 아카데미 학생,중급,1일
26,AWS 아카데미 학생,,
27,AWS 아카데미 학생,중급,1일
28,AWS 아카데미 학생,,
29,AWS 아카데미 학생,중급,1일
30,AWS 아카데미 학생,,
31,AWS 아카데미 학생,중급,3일
33,AWS 아카데미 학생,중급,3일
35,AWS 아카데미 학생,중급,3일
37,AWS 아카데미 학생,중급,2일
38,AWS 아카데미 학생,,
39,AWS 아카데미 학생,중급,3일
41,AWS 아카데미 학생,중급,3일
43,AWS 아카데미 학생,중급,3일
45,AWS 아카데미 학생,초급,1일
46,AWS 아카데미 학생,,
47,AWS 아카데미 학생,중급,3일
49,AWS 아카데미 학생,중급,3일
51,AWS 아카데미 학생,중급,1일
52,AWS 아카데미 학생,,
53,AWS 아카데미 학생,중급,1일
54,AWS 아카데미 학생,,
55,AWS 아카데미 학생,중급,1일
56,AWS 아카데미 학생,,
57,AWS 아카데미 학생,중급,3일
59,AWS 아카데미 학생,중급,3일
62,AWS 아카데미 학생,중급,24시간
63,AWS 아카데미 학생,,
64,AWS 아카데미 학생,중급,8시간
66,AWS 아카데미 학생,중급,8시간
67,AWS 아카데미 학생,,
68,AWS 아카데미 학생,중급,8시간
70,AWS 아카데미 학생,기초,8시간
72,AWS 아카데미 학생,중급,24시간
73,AWS 아카데미 학생,,
74,AWS 아카데미 학생,고급,16시간
76,AWS 아카데미 학생,중급,24시간
77,AWS 아카데미 학생,,
78,AWS 아카데미 학생,중급,24시간
79,AWS 아카데미 학생,중급,24시간
80,AWS 아카데미 학생,,
81,AWS 아카데미 학생,초급,4시간
83,AWS 아카데미 학생,중급,24시간
85,AWS 아카데미 학생,중급,24시간
86,AWS 아카데미 학생,중급,24시간
88,AWS 아카데미 학생,중급,24시간
